R	in s	V_cu	A_cu in mA	delta T	T in K	delta t	E	Cp	alpha	Cv
27.3	180	16.09	153.4	3.0821778	93.8094886	129	319.209984	19.19914684	1.05714E-05	19.10522776
28.6	309	16.11	153.6	1.4240712	96.8916664	51	123.330648	16.05470987	1.10337E-05	15.94903473
29.2	360	15.92	151.9	9.756975	98.3157376	370	909.7227	17.28450678	1.12474E-05	17.17308645
33.3	730	16.07	153.0	10.760733	108.0727126	430	1067.33568	18.38748468	1.27109E-05	18.23105856
37.8	1160	16.16	153.6	6.2420488	118.8334456	265	659.85583	19.59679504	1.4325E-05	19.37833645
40.4	1425	16.19	153.8	5.5369142	125.0754944	249	621.97212	20.82410169	1.52613E-05	20.56312795
42.7	1674	16.22	154.0	5.7927648	130.6124086	252	631.060416	20.19520173	1.60919E-05	19.89220556
45.1	1926	16.24	154.2	5.8082016	136.4051734	264	662.761704	21.15333638	1.69608E-05	20.80180635
47.5	2190	16.27	154.3	6.066625	142.213375	264	664.006464	20.29029254	1.7832E-05	19.88517504
50.0	2454	16.29	154.4	5.5960886	148.28	243	611.95905	20.27220231	0.000018742	19.80559172
52.3	2697	16.30	154.5	6.8317648	153.8760886	299	754.423943	20.47131347	1.95814E-05	19.94274732
55.1	2996	16.31	154.7	6.117545	160.7078534	292	737.665292	22.35348953	2.06062E-05	21.74216455
57.6	3288	16.33	154.7	4.906096	166.8253984	318	804.359376	30.39325672	2.15238E-05	29.70088295
59.6	3606	16.34	154.8	3.4406456	171.7314944	102	258.002064	13.90101114	2.22597E-05	13.13870459
61.0	3708	16.34	154.8	7.6372654	175.17214	334	846.410776	20.54501453	2.27758E-05	19.73096044
64.1	4042	16.36	154.9	7.6630202	182.8094054	327	829.71345	20.07203066	2.39214E-05	19.13487386
67.2	4369	16.37	155.0	6.6952278	190.4724256	343	870.31105	24.09751678	2.50709E-05	23.02498331
69.9	4712	16.37	155.0	9.7053762	197.1676534	513	1303.295994	24.89395144	2.60751E-05	23.69298913
73.8	5225	16.38	155.1	7.9938304	206.8730296	387	983.822112	22.81522738	2.7531E-05	21.41051776
77.0	5612	16.38	155.2	7.51914	214.86686	368	936.091904	23.07881309	2.873E-05	21.48996743
80.0	5980	16.39	155.2	9.0548064	222.386	449	1142.133872	23.38304116	2.98579E-05	21.60694651
83.6	6429	16.39	155.2	9.595532	231.4408064	579	1473.767493	28.47233381	3.12161E-05	26.45193107
87.4	7008	16.39	155.3	10.3964766	241.0363384	432	1099.598544	19.60699904	3.26555E-05	17.30431668
91.5	7440	16.39	155.3	11.462625	251.432815	594	1512.921564	24.46783145	3.42149E-05	21.83093413
96.0	8034	16.39	155.4	10.23456	262.89544	507	1289.713698	23.36077723	3.59343E-05	20.31959836
100.0	8541	16.38	155.3	10.27744	273.13	491	1249.012674	22.52916248	3.74695E-05	19.09385712
					
										
										
										
										
										
										
