R1,T1,ARez,Vrez,R1,t1
27.30+/-0.10,93.81+/-0.24,1.0050761+/-0.0000006,16.560+/-0.010,27.30+/-0.10,180.0+/-1.0
28.60+/-0.10,96.89+/-0.24,1.0050457+/-0.0000007,16.090+/-0.010,28.60+/-0.10,309.0+/-1.0
29.20+/-0.10,98.32+/-0.24,1.0050470+/-0.0000007,16.110+/-0.010,29.20+/-0.10,360.0+/-1.0
33.30+/-0.10,108.07+/-0.24,1.0050359+/-0.0000007,15.920+/-0.010,33.30+/-0.10,730.0+/-1.0
37.80+/-0.10,118.83+/-0.24,1.0050431+/-0.0000007,16.070+/-0.010,37.80+/-0.10,1160.0+/-1.0
40.40+/-0.10,125.08+/-0.24,1.0050470+/-0.0000007,16.160+/-0.010,40.40+/-0.10,1425.0+/-1.0
42.70+/-0.10,130.61+/-0.24,1.0050484+/-0.0000007,16.190+/-0.010,42.70+/-0.10,1674.0+/-1.0
47.50+/-0.10,142.21+/-0.24,1.0050497+/-0.0000007,16.220+/-0.010,47.50+/-0.10,2190.0+/-1.0
50.00+/-0.10,148.28+/-0.24,1.0050516+/-0.0000007,16.270+/-0.010,50.00+/-0.10,2454.0+/-1.0
52.30+/-0.10,153.88+/-0.24,1.0050523+/-0.0000007,16.290+/-0.010,52.30+/-0.10,2697.0+/-1.0
55.10+/-0.10,160.71+/-0.24,1.0050529+/-0.0000007,16.300+/-0.010,55.10+/-0.10,2996.0+/-1.0
57.60+/-0.10,166.83+/-0.25,1.0050542+/-0.0000006,16.310+/-0.010,57.60+/-0.10,3288.0+/-1.0
59.60+/-0.10,171.73+/-0.25,1.0050542+/-0.0000006,16.330+/-0.010,59.60+/-0.10,3606.0+/-1.0
61.00+/-0.10,175.17+/-0.25,1.0050549+/-0.0000006,16.340+/-0.010,61.00+/-0.10,3708.0+/-1.0
64.10+/-0.10,182.81+/-0.25,1.0050549+/-0.0000006,16.340+/-0.010,64.10+/-0.10,4042.0+/-1.0
67.20+/-0.10,190.47+/-0.25,1.0050536+/-0.0000007,16.360+/-0.010,67.20+/-0.10,4369.0+/-1.0
69.90+/-0.10,197.17+/-0.25,1.0050562+/-0.0000006,16.370+/-0.010,69.90+/-0.10,4712.0+/-1.0
73.80+/-0.10,206.87+/-0.25,1.0050562+/-0.0000006,16.370+/-0.010,73.80+/-0.10,5225.0+/-1.0
77.00+/-0.10,214.87+/-0.25,1.0050568+/-0.0000006,16.380+/-0.010,77.00+/-0.10,5612.0+/-1.0
80.00+/-0.10,222.39+/-0.25,1.0050568+/-0.0000006,16.380+/-0.010,80.00+/-0.10,5980.0+/-1.0
83.60+/-0.10,231.44+/-0.25,1.0050575+/-0.0000006,16.390+/-0.010,83.60+/-0.10,6429.0+/-1.0
87.40+/-0.10,241.04+/-0.25,1.0050575+/-0.0000006,16.390+/-0.010,87.40+/-0.10,7008.0+/-1.0
91.50+/-0.10,251.43+/-0.25,1.0050581+/-0.0000006,16.000+/-0.010,91.50+/-0.10,7440.0+/-1.0
96.00+/-0.10,262.90+/-0.26,1.0050581+/-0.0000006,39.000+/-0.010,96.00+/-0.10,8034.0+/-1.0
100.00+/-0.10,273.13+/-0.26,1.0050588+/-0.0000006,16.390+/-0.010,100.00+/-0.10,8541.0+/-1.0
104.00+/-0.10,283.41+/-0.26,1.0050581+/-0.0000006,16.390+/-0.010,104.00+/-0.10,9032.0+/-1.0
