T1,uC_p,alpha,uC_v
88.13+/-0.24,0.0+/-0.5,(9.720+/-0.035)e-06,-0.1+/-0.5
93.81+/-0.24,14.5+/-0.9,(1.057+/-0.004)e-05,14.4+/-0.9
96.89+/-0.24,19.2+/-2.1,(1.103+/-0.004)e-05,19.1+/-2.1
98.32+/-0.24,16+/-4,(1.125+/-0.004)e-05,16+/-4
108.07+/-0.24,17.3+/-0.6,(1.271+/-0.004)e-05,17.1+/-0.6
118.83+/-0.24,18.4+/-0.6,(1.433+/-0.004)e-05,18.2+/-0.6
125.08+/-0.24,19.6+/-1.1,(1.526+/-0.004)e-05,19.3+/-1.1
130.61+/-0.24,20.8+/-1.3,(1.609+/-0.004)e-05,20.5+/-1.3
142.21+/-0.24,20.7+/-0.6,(1.783+/-0.004)e-05,20.3+/-0.6
148.28+/-0.24,20.3+/-1.2,(1.874+/-0.004)e-05,19.8+/-1.2
153.88+/-0.24,20.3+/-1.3,(1.958+/-0.004)e-05,19.7+/-1.3
160.71+/-0.24,20.5+/-1.0,(2.061+/-0.004)e-05,19.9+/-1.0
166.83+/-0.25,22.4+/-1.3,(2.152+/-0.004)e-05,21.7+/-1.3
171.73+/-0.25,30.4+/-2.2,(2.226+/-0.004)e-05,29.6+/-2.2
175.17+/-0.25,13.9+/-1.4,(2.278+/-0.004)e-05,13.1+/-1.4
182.81+/-0.25,20.5+/-0.9,(2.392+/-0.004)e-05,19.6+/-0.9
190.47+/-0.25,20.1+/-0.9,(2.507+/-0.004)e-05,19.0+/-0.9
197.17+/-0.25,24.1+/-1.3,(2.608+/-0.004)e-05,22.9+/-1.3
206.87+/-0.25,24.9+/-0.9,(2.753+/-0.004)e-05,23.5+/-0.9
214.87+/-0.25,22.8+/-1.0,(2.873+/-0.004)e-05,21.2+/-1.0
222.39+/-0.25,23.1+/-1.1,(2.986+/-0.004)e-05,21.3+/-1.1
231.44+/-0.25,23.4+/-0.9,(3.122+/-0.004)e-05,21.4+/-0.9
241.04+/-0.25,28.5+/-1.1,(3.266+/-0.004)e-05,26.2+/-1.1
251.43+/-0.25,19.6+/-0.7,(3.421+/-0.004)e-05,17.0+/-0.7
262.90+/-0.26,24.5+/-0.8,(3.593+/-0.004)e-05,21.4+/-0.8
273.13+/-0.26,23.4+/-0.8,(3.747+/-0.004)e-05,19.9+/-0.8
283.41+/-0.26,0.0+/-0,0.0+/-0,0.0+/-0
