uC_p,thetadT,T1,theta
0.0+/-0.5,2.4+/-0,88.13+/-0.24,211.5+/-0.6
14.5+/-0.9,3.1+/-0,93.81+/-0.24,290.8+/-0.7
19.2+/-2.1,2.9+/-0,96.89+/-0.24,281.0+/-0.7
16+/-4,2.6+/-0,98.32+/-0.24,255.6+/-0.6
17.3+/-0.6,2.3+/-0,108.07+/-0.24,248.6+/-0.5
18.4+/-0.6,2.0+/-0,118.83+/-0.24,237.7+/-0.5
19.6+/-1.1,2.1+/-0,125.08+/-0.24,262.7+/-0.5
20.8+/-1.3,2.2+/-0,130.61+/-0.24,287.3+/-0.5
20.7+/-0.6,2.2+/-0,142.21+/-0.24,312.9+/-0.5
20.3+/-1.2,2.1+/-0,148.28+/-0.24,311.4+/-0.5
20.3+/-1.3,1.7+/-0,153.88+/-0.24,261.6+/-0.4
20.5+/-1.0,0.0+/-0,160.71+/-0.24,0.0+/-0
22.4+/-1.3,0.0+/-0,166.83+/-0.25,0.0+/-0
30.4+/-2.2,0.0+/-0,171.73+/-0.25,0.0+/-0
13.9+/-1.4,0.0+/-0,175.17+/-0.25,0.0+/-0
20.5+/-0.9,0.0+/-0,182.81+/-0.25,0.0+/-0
20.1+/-0.9,0.0+/-0,190.47+/-0.25,0.0+/-0
24.1+/-1.3,0.0+/-0,197.17+/-0.25,0.0+/-0
24.9+/-0.9,0.0+/-0,206.87+/-0.25,0.0+/-0
22.8+/-1.0,0.0+/-0,214.87+/-0.25,0.0+/-0
23.1+/-1.1,0.0+/-0,222.39+/-0.25,0.0+/-0
23.4+/-0.9,0.0+/-0,231.44+/-0.25,0.0+/-0
28.5+/-1.1,0.0+/-0,241.04+/-0.25,0.0+/-0
19.6+/-0.7,0.0+/-0,251.43+/-0.25,0.0+/-0
24.5+/-0.8,0.0+/-0,262.90+/-0.26,0.0+/-0
23.4+/-0.8,0.0+/-0,273.13+/-0.26,0.0+/-0
0.0+/-0,0.0+/-0,283.41+/-0.26,0.0+/-0
